"type","name","iso_country","municipality","icao_code","iata_code"
"medium_airport","Del Caribe Santiago Mariño International Airport","VE","Isla Margarita","SVMG","PMV"
"large_airport","Simón Bolívar International Airport","VE","Caracas","SVMI","CCS"
"medium_airport","Maturín Airport","VE","Maturín","SVMT","MUN"
"small_airport","Oro Negro Airport","VE","Cabimas","SVON","CBS"
"medium_airport","Cacique Aramare Airport","VE","Puerto Ayacucho","SVPA","PYH"
"medium_airport","General Bartolome Salom International Airport","VE",,"SVPC","PBL"
"small_airport","Pedernales Airport","VE",,"SVPE","PDZ"
"medium_airport","Paramillo Airport","VE",,"SVPM","SCI"
"medium_airport","General Manuel Carlos Piar International Airport","VE","Puerto Ordaz-Ciudad Guayana","SVPR","PZO"
"medium_airport","Palmarito Airport","VE","Palmarito","SVPT","PTM"
"small_airport","Los Roques Airport","VE","Gran Roque Island","SVRS","LRV"
"medium_airport","San Antonio Del Tachira Airport","VE",,"SVSA","SVZ"
"small_airport","Santa Bárbara de Barinas Airport","VE","Santa Bárbara","SVSB","SBB"
"medium_airport","Santa Elena de Uairen Airport","VE",,"SVSE","SNV"
"medium_airport","Mayor Buenaventura Vivas International Airport","VE","Santo Domingo","SVSO","STD"
"medium_airport","Sub Teniente Nestor Arias Airport","VE","San Felipe","SVSP","SNF"
"medium_airport","San Fernando De Apure Airport","VE","Inglaterra","SVSR","SFD"
"medium_airport","San Tomé Airport","VE","El Tigre","SVST","SOM"
"medium_airport","Miguel Urdaneta Fernández Airport","VE","San Carlos del Zulia","SVSZ","STB"
"medium_airport","Tucupita Airport","VE","Tucupita","SVTC","TUV"
"medium_airport","Tumeremo Airport","VE",,"SVTM","TMO"
"small_airport","Uriman Airport","VE",,"SVUM","URM"
"medium_airport","Arturo Michelena International Airport","VE","Valencia","SVVA","VLN"
"medium_airport","Juan Pablo Pérez Alfonso Airport","VE","El Vigía","SVVG","VIG"
"medium_airport","Dr. Antonio Nicolás Briceño Airport","VE","Valera","SVVL","VLV"
"medium_airport","Valle de La Pascua Airport","VE",,"SVVP","VDP"
"small_airport","El Recreo Airport","VE",,"SVWX",
"small_airport","Barcelos Airport","BR","Barcelos","SWBC","BAZ"
"small_airport","Borba Airport","BR","Borba","SWBR","RBB"
"small_airport","Carauari Airport","BR","Carauari","SWCA","CAF"
"small_airport","Costa Marques Airport","BR","Costa Marques","SWCQ","CQS"
"small_airport","Diamantino Airport","BR","Diamantino","SWDM","DMT"
"small_airport","Dianópolis Airport","BR","Dianópolis","SWDN","DNO"
"small_airport","Estância das Cascatas Airport","BR","Aragarças","SWEC",
"small_airport","Eirunepé Airport","BR","Eirunepé","SWEI","ERN"
"small_airport","Canarana Airport","BR","Canarana","SWEK","CQA"
"small_airport","São Félix do Araguaia Airport","BR","São Félix Do Araguaia","SWFX","SXO"
"small_airport","Gurupi Airport","BR","Gurupi","SWGI","GRP"
"medium_airport","Araguaína Airport","BR","Araguaína","SWGN","AUX"
"small_airport","Frederico Carlos Müller Airport","BR","Água Boa","SWHP","GGB"
"small_airport","Humaitá Airport","BR","Humaitá","SWHT","HUW"
"small_airport","Ipiranga Airport","BR","Santo Antônio do Içá","SWII","IPG"
"small_airport","Santa Izabel do Morro Airport","BR","Cristalândia","SWIY","IDO"
"small_airport","Fazenda Maringá Airport","BR","Baixa Grande do Ribeiro","SWJI",
"small_airport","Juína Airport","BR","Juína","SWJN","JIA"
"small_airport","Fazenda Mundo Novo Airport","BR","Dueré","SWJU",
"small_airport","Jataí Airport","BR","Jataí","SWJW","JTI"
"small_airport","Cáceres Airport","BR","Cáceres","SWKC","CCX"
"small_airport","Coari Airport","BR","Coari","SWKO","CIZ"
"small_airport","Catalão Airport","BR","Catalão","SWKT","TLZ"
"small_airport","Lábrea Airport","BR","Lábrea","SWLB","LBR"
"small_airport","General Leite de Castro Airport","BR","Rio Verde","SWLC","RVD"
"small_airport","Maués Airport","BR","Maués","SWMW","MBZ"
"small_airport","Novo Aripuanã Airport","BR","Novo Aripuanã","SWNA","NVP"
"small_airport","Novo Campo Airport","BR","Boca do Acre","SWNK","BCR"
"small_airport","Niquelândia Airport","BR","Niquelândia","SWNQ","NQL"
"small_airport","Anápolis Airport","BR","Anápolis","SWNS","APS"
"small_airport","Fonte Boa Airport","BR","Fonte Boa","SWOB","FBA"
"small_airport","Parintins Airport","BR","Parintins","SWPI","PIN"
"small_airport","Pimenta Bueno Airport","BR","Pimenta Bueno","SWPM","PBQ"
"small_airport","Fazenda Piraguassu Airport","BR","Porto Alegre do Norte","SWPQ","PBX"
"small_airport","Fazenda Bela Vista Airport","BR","Nova Monte Verde","SWRA",
"small_airport","Chácara Rondoagro Airport","BR","Alto Garças","SWRD",
"small_airport","Pousada Amazônia Fishing Lodge Airstrip","BR","Jacareacanga","SWSI",
"small_airport","Fazenda São Valentim Airport","BR","Pontes e Lacerda","SWSN",
"heliport","Bandeiras Centro Empresarial Heliport","BR","Votorantim","SWST",
"small_airport","Tapuruquara Airport","BR","Santa Isabel Do Rio Negro","SWTP","IRZ"
"small_airport","Tangará da Serra Airport","BR","Tangará da Serra","SWTS","TGQ"
"small_airport","Fazenda Tucunaré Airport","BR","Sapezal","SWTU","AZL"
"small_airport","São Miguel do Araguaia Airport","BR","São Miguel Do Araguaia","SWUA","SQM"
"heliport","ICPB Heliport","BR","Porto Belo","SWVB",
"small_airport","Vila Rica Airport","BR","Vila Rica","SWVC","VLP"
"small_airport","Orlando Villas Boas Regional Airport","BR","Matupá","SWXM","MBK"
"small_airport","Xavantina Airport","BR","Nova Xavantina","SWXV","NOK"
"small_airport","Aishalton Airport","GY","Aishalton","SYAH","AHL"
"small_airport","Annai Airport","GY","Annai","SYAN","NAI"
"small_airport","Baramita Airport","GY","Baramita","SYBR","BMJ"
"small_airport","Bartica A Airport","GY","Bartica","SYBT","GFO"
"medium_airport","Cheddi Jagan International Airport","GY","Georgetown","SYCJ","GEO"
"small_airport","Imbaimadai Airport","GY","Imbaimadai","SYIB","IMB"
"medium_airport","Kaieteur International Airport","GY","Kaieteur Falls","SYKA","KAI"
"small_airport","Kamarang Airport","GY","Kamarang","SYKM","KAR"
"small_airport","Karanambo Airport","GY","Karanambo","SYKR","KRM"
"small_airport","Karasabai Airport","GY","Karasabai","SYKS","KRG"
"small_airport","Kato Airport","GY","Kato","SYKT","KTO"
"small_airport","Konawaruk Airport","GY","Konawaruk","SYKZ","KKG"
"small_airport","Lumid Pau Airport","GY","Lumid Pau","SYLP","LUB"
"medium_airport","Lethem Airport","GY","Lethem","SYLT","LTM"
"small_airport","Mabaruma Airport","GY","Mabaruma","SYMB","USI"
"small_airport","Mahdia Airport","GY","Mahdia","SYMD","MHA"
"small_airport","Maikwak Airport","GY","Maikwak","SYMK","VEG"
"small_airport","Monkey Mountain Airport","GY","Monkey Mountain","SYMM","MYM"
"small_airport","Matthews Ridge Airport","GY","Matthews Ridge","SYMR","MWJ"
"small_airport","Orinduik Airport","GY","Orinduik","SYOR","ORJ"
"small_airport","Paruima Airport","GY","Paruima","SYPR","PRR"
"small_airport","Sand Creek Airport","GY","Sand Creek","SYSC","SDC"
"medium_airport","V C Bird International Airport","AG","Osbourn","TAPA","ANU"
"medium_airport","Codrington Airport","AG","Codrington","TAPH","BBQ"
"medium_airport","Grantley Adams International Airport","BB","Bridgetown","TBPB","BGI"
"medium_airport","Canefield Airport","DM","Canefield","TDCF","DCF"
"medium_airport","Douglas-Charles Airport","DM","Marigot","TDPD","DOM"
